constant,value,type,category
ACCOUNT_MARGIN_MODE_EXCHANGE,1,int,Account constants
ACCOUNT_MARGIN_MODE_RETAIL_HEDGING,2,int,Account constants
ACCOUNT_MARGIN_MODE_RETAIL_NETTING,0,int,Account constants
ACCOUNT_STOPOUT_MODE_MONEY,1,int,Account constants
ACCOUNT_STOPOUT_MODE_PERCENT,0,int,Account constants
ACCOUNT_TRADE_MODE_CONTEST,1,int,Account constants
ACCOUNT_TRADE_MODE_DEMO,0,int,Account constants
ACCOUNT_TRADE_MODE_REAL,2,int,Account constants
BOOK_TYPE_BUY,2,int,other
BOOK_TYPE_BUY_MARKET,4,int,other
BOOK_TYPE_SELL,1,int,other
BOOK_TYPE_SELL_MARKET,3,int,other
COPY_TICKS_ALL,-1,int,other
COPY_TICKS_INFO,1,int,other
COPY_TICKS_TRADE,2,int,other
DAY_OF_WEEK_FRIDAY,5,int,other
DAY_OF_WEEK_MONDAY,1,int,other
DAY_OF_WEEK_SATURDAY,6,int,other
DAY_OF_WEEK_SUNDAY,0,int,other
DAY_OF_WEEK_THURSDAY,4,int,other
DAY_OF_WEEK_TUESDAY,2,int,other
DAY_OF_WEEK_WEDNESDAY,3,int,other
DEAL_DIVIDEND,15,int,other
DEAL_DIVIDEND_FRANKED,16,int,other
DEAL_ENTRY_IN,0,int,other
DEAL_ENTRY_INOUT,2,int,other
DEAL_ENTRY_OUT,1,int,other
DEAL_ENTRY_OUT_BY,3,int,other
DEAL_REASON_CLIENT,0,int,other
DEAL_REASON_EXPERT,3,int,other
DEAL_REASON_MOBILE,1,int,other
DEAL_REASON_ROLLOVER,7,int,other
DEAL_REASON_SL,4,int,other
DEAL_REASON_SO,6,int,other
DEAL_REASON_SPLIT,9,int,other
DEAL_REASON_TP,5,int,other
DEAL_REASON_VMARGIN,8,int,other
DEAL_REASON_WEB,2,int,other
DEAL_TAX,17,int,other
DEAL_TYPE_BALANCE,2,int,other
DEAL_TYPE_BONUS,6,int,other
DEAL_TYPE_BUY,0,int,other
DEAL_TYPE_BUY_CANCELED,13,int,other
DEAL_TYPE_CHARGE,4,int,other
DEAL_TYPE_COMMISSION,7,int,other
DEAL_TYPE_COMMISSION_AGENT_DAILY,10,int,other
DEAL_TYPE_COMMISSION_AGENT_MONTHLY,11,int,other
DEAL_TYPE_COMMISSION_DAILY,8,int,other
DEAL_TYPE_COMMISSION_MONTHLY,9,int,other
DEAL_TYPE_CORRECTION,5,int,other
DEAL_TYPE_CREDIT,3,int,other
DEAL_TYPE_INTEREST,12,int,other
DEAL_TYPE_SELL,1,int,other
DEAL_TYPE_SELL_CANCELED,14,int,other
ORDER_FILLING_BOC,3,int,Order filling types
ORDER_FILLING_FOK,0,int,Order filling types
ORDER_FILLING_IOC,1,int,Order filling types
ORDER_FILLING_RETURN,2,int,Order filling types
ORDER_REASON_CLIENT,0,int,other
ORDER_REASON_EXPERT,3,int,other
ORDER_REASON_MOBILE,1,int,other
ORDER_REASON_SL,4,int,other
ORDER_REASON_SO,6,int,other
ORDER_REASON_TP,5,int,other
ORDER_REASON_WEB,2,int,other
ORDER_STATE_CANCELED,2,int,other
ORDER_STATE_EXPIRED,6,int,other
ORDER_STATE_FILLED,4,int,other
ORDER_STATE_PARTIAL,3,int,other
ORDER_STATE_PLACED,1,int,other
ORDER_STATE_REJECTED,5,int,other
ORDER_STATE_REQUEST_ADD,7,int,other
ORDER_STATE_REQUEST_CANCEL,9,int,other
ORDER_STATE_REQUEST_MODIFY,8,int,other
ORDER_STATE_STARTED,0,int,other
ORDER_TIME_DAY,1,int,Order time types
ORDER_TIME_GTC,0,int,Order time types
ORDER_TIME_SPECIFIED,2,int,Order time types
ORDER_TIME_SPECIFIED_DAY,3,int,Order time types
ORDER_TYPE_BUY,0,int,Order types
ORDER_TYPE_BUY_LIMIT,2,int,Order types
ORDER_TYPE_BUY_STOP,4,int,Order types
ORDER_TYPE_BUY_STOP_LIMIT,6,int,Order types
ORDER_TYPE_CLOSE_BY,8,int,Order types
ORDER_TYPE_SELL,1,int,Order types
ORDER_TYPE_SELL_LIMIT,3,int,Order types
ORDER_TYPE_SELL_STOP,5,int,Order types
ORDER_TYPE_SELL_STOP_LIMIT,7,int,Order types
POSITION_REASON_CLIENT,0,int,other
POSITION_REASON_EXPERT,3,int,other
POSITION_REASON_MOBILE,1,int,other
POSITION_REASON_WEB,2,int,other
POSITION_TYPE_BUY,0,int,other
POSITION_TYPE_SELL,1,int,other
RES_E_AUTH_FAILED,-6,int,other
RES_E_AUTO_TRADING_DISABLED,-8,int,other
RES_E_FAIL,-1,int,other
RES_E_INTERNAL_FAIL,-10000,int,other
RES_E_INTERNAL_FAIL_CONNECT,-10004,int,other
RES_E_INTERNAL_FAIL_INIT,-10003,int,other
RES_E_INTERNAL_FAIL_RECEIVE,-10002,int,other
RES_E_INTERNAL_FAIL_SEND,-10001,int,other
RES_E_INTERNAL_FAIL_TIMEOUT,-10005,int,other
RES_E_INVALID_PARAMS,-2,int,other
RES_E_INVALID_VERSION,-5,int,other
RES_E_NOT_FOUND,-4,int,other
RES_E_NO_MEMORY,-3,int,other
RES_E_UNSUPPORTED,-7,int,other
RES_S_OK,1,int,other
SYMBOL_CALC_MODE_CFD,2,int,Symbol constants
SYMBOL_CALC_MODE_CFDINDEX,3,int,Symbol constants
SYMBOL_CALC_MODE_CFDLEVERAGE,4,int,Symbol constants
SYMBOL_CALC_MODE_EXCH_BONDS,37,int,Symbol constants
SYMBOL_CALC_MODE_EXCH_BONDS_MOEX,39,int,Symbol constants
SYMBOL_CALC_MODE_EXCH_FUTURES,33,int,Symbol constants
SYMBOL_CALC_MODE_EXCH_OPTIONS,34,int,Symbol constants
SYMBOL_CALC_MODE_EXCH_OPTIONS_MARGIN,36,int,Symbol constants
SYMBOL_CALC_MODE_EXCH_STOCKS,32,int,Symbol constants
SYMBOL_CALC_MODE_EXCH_STOCKS_MOEX,38,int,Symbol constants
SYMBOL_CALC_MODE_FOREX,0,int,Symbol constants
SYMBOL_CALC_MODE_FOREX_NO_LEVERAGE,5,int,Symbol constants
SYMBOL_CALC_MODE_FUTURES,1,int,Symbol constants
SYMBOL_CALC_MODE_SERV_COLLATERAL,64,int,Symbol constants
SYMBOL_CHART_MODE_BID,0,int,Symbol constants
SYMBOL_CHART_MODE_LAST,1,int,Symbol constants
SYMBOL_OPTION_MODE_AMERICAN,1,int,Symbol constants
SYMBOL_OPTION_MODE_EUROPEAN,0,int,Symbol constants
SYMBOL_OPTION_RIGHT_CALL,0,int,Symbol constants
SYMBOL_OPTION_RIGHT_PUT,1,int,Symbol constants
SYMBOL_ORDERS_DAILY,1,int,Symbol constants
SYMBOL_ORDERS_DAILY_NO_STOPS,2,int,Symbol constants
SYMBOL_ORDERS_GTC,0,int,Symbol constants
SYMBOL_SWAP_MODE_CURRENCY_DEPOSIT,4,int,Symbol constants
SYMBOL_SWAP_MODE_CURRENCY_MARGIN,3,int,Symbol constants
SYMBOL_SWAP_MODE_CURRENCY_SYMBOL,2,int,Symbol constants
SYMBOL_SWAP_MODE_DISABLED,0,int,Symbol constants
SYMBOL_SWAP_MODE_INTEREST_CURRENT,5,int,Symbol constants
SYMBOL_SWAP_MODE_INTEREST_OPEN,6,int,Symbol constants
SYMBOL_SWAP_MODE_POINTS,1,int,Symbol constants
SYMBOL_SWAP_MODE_REOPEN_BID,8,int,Symbol constants
SYMBOL_SWAP_MODE_REOPEN_CURRENT,7,int,Symbol constants
SYMBOL_TRADE_EXECUTION_EXCHANGE,3,int,Symbol constants
SYMBOL_TRADE_EXECUTION_INSTANT,1,int,Symbol constants
SYMBOL_TRADE_EXECUTION_MARKET,2,int,Symbol constants
SYMBOL_TRADE_EXECUTION_REQUEST,0,int,Symbol constants
SYMBOL_TRADE_MODE_CLOSEONLY,3,int,Symbol constants
SYMBOL_TRADE_MODE_DISABLED,0,int,Symbol constants
SYMBOL_TRADE_MODE_FULL,4,int,Symbol constants
SYMBOL_TRADE_MODE_LONGONLY,1,int,Symbol constants
SYMBOL_TRADE_MODE_SHORTONLY,2,int,Symbol constants
TICK_FLAG_ASK,4,int,other
TICK_FLAG_BID,2,int,other
TICK_FLAG_BUY,32,int,other
TICK_FLAG_LAST,8,int,other
TICK_FLAG_SELL,64,int,other
TICK_FLAG_VOLUME,16,int,other
TIMEFRAME_D1,16408,int,Timeframe constants
TIMEFRAME_H1,16385,int,Timeframe constants
TIMEFRAME_H12,16396,int,Timeframe constants
TIMEFRAME_H2,16386,int,Timeframe constants
TIMEFRAME_H3,16387,int,Timeframe constants
TIMEFRAME_H4,16388,int,Timeframe constants
TIMEFRAME_H6,16390,int,Timeframe constants
TIMEFRAME_H8,16392,int,Timeframe constants
TIMEFRAME_M1,1,int,Timeframe constants
TIMEFRAME_M10,10,int,Timeframe constants
TIMEFRAME_M12,12,int,Timeframe constants
TIMEFRAME_M15,15,int,Timeframe constants
TIMEFRAME_M2,2,int,Timeframe constants
TIMEFRAME_M20,20,int,Timeframe constants
TIMEFRAME_M3,3,int,Timeframe constants
TIMEFRAME_M30,30,int,Timeframe constants
TIMEFRAME_M4,4,int,Timeframe constants
TIMEFRAME_M5,5,int,Timeframe constants
TIMEFRAME_M6,6,int,Timeframe constants
TIMEFRAME_MN1,49153,int,Timeframe constants
TIMEFRAME_W1,32769,int,Timeframe constants
TRADE_ACTION_CLOSE_BY,10,int,Trade actions
TRADE_ACTION_DEAL,1,int,Trade actions
TRADE_ACTION_MODIFY,7,int,Trade actions
TRADE_ACTION_PENDING,5,int,Trade actions
TRADE_ACTION_REMOVE,8,int,Trade actions
TRADE_ACTION_SLTP,6,int,Trade actions
TRADE_RETCODE_CANCEL,10007,int,Return codes
TRADE_RETCODE_CLIENT_DISABLES_AT,10027,int,Return codes
TRADE_RETCODE_CLOSE_ONLY,10044,int,Return codes
TRADE_RETCODE_CLOSE_ORDER_EXIST,10039,int,Return codes
TRADE_RETCODE_CONNECTION,10031,int,Return codes
TRADE_RETCODE_DONE,10009,int,Return codes
TRADE_RETCODE_DONE_PARTIAL,10010,int,Return codes
TRADE_RETCODE_ERROR,10011,int,Return codes
TRADE_RETCODE_FIFO_CLOSE,10045,int,Return codes
TRADE_RETCODE_FROZEN,10029,int,Return codes
TRADE_RETCODE_INVALID,10013,int,Return codes
TRADE_RETCODE_INVALID_CLOSE_VOLUME,10038,int,Return codes
TRADE_RETCODE_INVALID_EXPIRATION,10022,int,Return codes
TRADE_RETCODE_INVALID_FILL,10030,int,Return codes
TRADE_RETCODE_INVALID_ORDER,10035,int,Return codes
TRADE_RETCODE_INVALID_PRICE,10015,int,Return codes
TRADE_RETCODE_INVALID_STOPS,10016,int,Return codes
TRADE_RETCODE_INVALID_VOLUME,10014,int,Return codes
TRADE_RETCODE_LIMIT_ORDERS,10033,int,Return codes
TRADE_RETCODE_LIMIT_POSITIONS,10040,int,Return codes
TRADE_RETCODE_LIMIT_VOLUME,10034,int,Return codes
TRADE_RETCODE_LOCKED,10028,int,Return codes
TRADE_RETCODE_LONG_ONLY,10042,int,Return codes
TRADE_RETCODE_MARKET_CLOSED,10018,int,Return codes
TRADE_RETCODE_NO_CHANGES,10025,int,Return codes
TRADE_RETCODE_NO_MONEY,10019,int,Return codes
TRADE_RETCODE_ONLY_REAL,10032,int,Return codes
TRADE_RETCODE_ORDER_CHANGED,10023,int,Return codes
TRADE_RETCODE_PLACED,10008,int,Return codes
TRADE_RETCODE_POSITION_CLOSED,10036,int,Return codes
TRADE_RETCODE_PRICE_CHANGED,10020,int,Return codes
TRADE_RETCODE_PRICE_OFF,10021,int,Return codes
TRADE_RETCODE_REJECT,10006,int,Return codes
TRADE_RETCODE_REJECT_CANCEL,10041,int,Return codes
TRADE_RETCODE_REQUOTE,10004,int,Return codes
TRADE_RETCODE_SERVER_DISABLES_AT,10026,int,Return codes
TRADE_RETCODE_SHORT_ONLY,10043,int,Return codes
TRADE_RETCODE_TIMEOUT,10012,int,Return codes
TRADE_RETCODE_TOO_MANY_REQUESTS,10024,int,Return codes
TRADE_RETCODE_TRADE_DISABLED,10017,int,Return codes
